"dsid","n"
"02025611-2855-484d-8823-0193bcde184f",20
"037e10ac-861c-497c-9170-e1ecbcc944a2",22
"03c66cf9-f906-422a-96e4-451869683469",1
"066276bd-973f-4980-ac15-2eac2188d993",9
"073c8d75-7715-449e-b255-c7ea7b659600",9
"0879e782-ba2c-48c4-8963-98ea7e4302a4",16
"09b221dc-7cdd-44ae-9619-9a9d2a101daf",14
"09bab0e6-01b1-4e38-a13d-88c647ba398c",12
"09c28cfc-7dd1-49e9-a115-1a0c220dd037",7
"09f078ae-83c7-453a-96ea-44a411ba22dc",9
"0d79047b-38b7-4d52-b2fd-b04c5d7806eb",4
"0ed82b02-fbfd-4976-8d37-05ebe58af4e5",23
"0f63a7ed-534c-4748-ad95-96b1b62b82de",9
"101cfdbc-2632-43eb-a01d-4e1907e04b1c",7
"10dad7f5-e1c4-4016-aece-f0d071483e6c",2
"11b8bd4a-2d0a-476f-9dbf-79cdb12a8370",9
"12ae0e51-1449-47ab-9e6c-faf76bffe0aa",3
"142bc435-c089-4396-8dc4-c57cda2e99e2",1
"18785ddb-651a-4762-9fab-fd1732bac081",1
"195d69df-3375-4204-bdc5-228de8b85e25",1
"19666559-f651-4777-8c73-66607c14a73b",24
"19dec3df-4275-4883-8c58-e34bc20e983b",3
"1a1a089b-8325-44b9-935c-6687d2de2ea0",9
"1a85e497-6080-4a1b-9a5e-0f581f7347cf",8
"1dbbced9-cc89-4d9e-97b5-479bf4a1b440",8
"1fdd0cfd-8072-46d5-96ba-ef6e2617e882",21
"1fdf7ab5-7bcb-416c-9c8a-dd04efafc7d5",5
"20584ed9-1748-48fe-88b9-49bc6105a8ee",20
"2129e3fc-0173-4aac-853b-9bba904be165",1
"2452a1ba-2a57-46a8-a698-b345e46d085c",18
"250062cd-de57-446a-a541-2c604f6f20d3",11
"264600fb-4554-47ce-9bc0-5031504de8e8",12
"276e4747-b773-4b0c-b865-b918bc98d908",1
"282534ea-f100-4f63-a9a0-b3f43eba4380",20
"28e24066-374a-4adc-828f-8d07509bf42b",13
"293d9849-8ad8-43bb-a5e4-2ca2097b8545",9
"2965f92c-085d-453e-a438-a08f4cb7f293",19
"29de25d7-faca-416a-85c1-e56cf2b02d16",1
"2aa51639-813c-4c67-a67e-164cb399fc57",3
"2ccf7715-8064-4ae8-b33a-cc474b7f58cf",1
"2dc160b2-589d-44a5-bfcd-f242c964811f",15
"313cd2ab-bff3-461d-ac93-d187848cd9a2",1
"31dcdbc0-c2f8-4ee5-a7fc-89037e011da9",22
"3223cf48-e06d-4b6f-aa3c-5844d8f24dfe",19
"35d2f7fa-42e1-4acd-89e1-01e0cda88195",8
"3b73ed07-8d64-4dd1-9908-3cdee015fa55",5
"3bbe9f91-7d29-46df-a6d9-6280ca97e2ff",4
"3cafcba0-7506-450e-9dab-39ea5ef62c52",1
"3f615efb-a965-486c-b5bf-cacd5b3f1393",14
"3ffb12d1-7ed9-44c6-bf93-6286025112bd",1
"404bef6b-4c57-4414-a566-702e92ae342a",5
"41fa5b04-34f5-4b7a-8f1f-7adc9bfae0c6",1
"42194fa5-80df-4521-be5f-2e4f35880fae",2
"425b0630-4edd-465d-ba02-28760d2f6bda",9
